Año,Trimestre,País de residencia,Provincia visitada,Turistas no residentes*,Noches,Gasto en US$**,Casos Muestrales***
2022,4,Resto de América,Mendoza,3364,14394,1742889.5,61
2022,4,Resto del mundo,Mendoza,440,2052,220202.5,4
2022,4,Uruguay,Mendoza,84,756,61923.6,2
2023,1,Bolivia,Mendoza,97,1290,69316.9,2
2023,1,Brasil,Mendoza,3418,23622,2680925.1,48
2023,1,Chile,Mendoza,512,1142,96529.9,7
2023,1,EE.UU. y Canadá,Mendoza,7714,47353,5886540.8,54
2023,1,Europa,Mendoza,10377,132595,9005384.9,73
2023,1,Paraguay,Mendoza,230,1206,148127.6,5
2023,1,Resto de América,Mendoza,2479,12990,1556163,48
2023,1,Resto del mundo,Mendoza,1766,9619,634917.4,9
2023,1,Uruguay,Mendoza,199,1212,189068.2,3
2023,2,Bolivia,Mendoza,104,528,107421.5,3
2023,2,Brasil,Mendoza,4535,25126,3589663.8,47
2023,2,Chile,Mendoza,156,926,70526,2
2023,2,EE.UU. y Canadá,Mendoza,3034,20697,2324358.8,35
2023,2,Europa,Mendoza,6016,80342,4901279.2,95
2023,2,Paraguay,Mendoza,176,440,23521.3,2
2023,2,Resto de América,Mendoza,1265,9582,1237272.1,23
2023,2,Resto del mundo,Mendoza,604,13076,789096.8,4
2023,2,Uruguay,Mendoza,482,2912,484097.3,5
2023,3,Bolivia,Mendoza,271,6727,407730.8,5
2023,3,Brasil,Mendoza,5686,28656,4360066.1,49
2023,3,Chile,Mendoza,272,1606,152472.5,4
2023,3,EE.UU. y Canadá,Mendoza,3407,82145,3553397.1,37
2023,3,Europa,Mendoza,5201,45078,3174925.1,84
2023,3,Resto de América,Mendoza,4911,23565,2657633.9,85
2023,3,Resto del mundo,Mendoza,616,5011,211266.8,3
2023,3,Uruguay,Mendoza,62,186,28163.2,1
2023,4,Bolivia,Mendoza,92,368,67383.9,2
2023,4,Brasil,Mendoza,3221,16052,2119566.2,29
2023,4,Chile,Mendoza,682,2773,285828.3,8
2023,4,EE.UU. y Canadá,Mendoza,5315,30534,2305347.6,35
2023,4,Europa,Mendoza,8679,123126,6649730.3,79
2023,4,Paraguay,Mendoza,151,802,152302.2,2
2023,4,Resto de América,Mendoza,3979,27032,2135208.9,54
2023,4,Resto del mundo,Mendoza,1747,15726,561297.5,6
2023,4,Uruguay,Mendoza,215,574,125528.4,2
2024,1,Bolivia,Mendoza,127,822,38461.8,2
2024,1,Brasil,Mendoza,4195,25194,2695485.4,58
2024,1,Chile,Mendoza,408,1696,114445.1,7
2024,1,EE.UU. y Canadá,Mendoza,5839,106468,3692890.4,32
2024,1,Europa,Mendoza,11015,144668,7553474.5,63
2024,1,Paraguay,Mendoza,301,1466,191878.1,6
2024,1,Resto de América,Mendoza,3995,16446,2289552.9,70
2024,1,Resto del mundo,Mendoza,870,2304,122048.5,2
2024,1,Uruguay,Mendoza,666,3061,345228.6,8
2024,2,Bolivia,Mendoza,138,480,126923.4,7
2024,2,Brasil,Mendoza,6464,35847,5382233.3,83
2024,2,Chile,Mendoza,264,1038,124627.2,6
2024,2,EE.UU. y Canadá,Mendoza,4317,25852,2451221.9,44
2024,2,Europa,Mendoza,4054,24792,2099692.3,51
2024,2,Paraguay,Mendoza,468,1344,372316.6,14
2024,2,Resto de América,Mendoza,3595,14902,1647716.4,81
2024,2,Resto del mundo,Mendoza,963,3459,373095.3,4
2024,2,Uruguay,Mendoza,209,2260,109277.9,3
2024,3,Brasil,Mendoza,5146,25445,3212946.9,83
2024,3,Chile,Mendoza,45,1260,6351.9,1
2024,3,EE.UU. y Canadá,Mendoza,2668,18723,2099402.7,38
2024,3,Europa,Mendoza,3996,48311,3351236.8,68
2024,3,Paraguay,Mendoza,250,1229,227660.9,12
2024,3,Resto de América,Mendoza,3336,14680,2037820.1,93
2024,3,Resto del mundo,Mendoza,1012,22120,1739218.6,5
2024,3,Uruguay,Mendoza,839,5642,433553.6,23
2024,4,Bolivia,Mendoza,97,820,101854.1,4
2024,4,Brasil,Mendoza,4848,28052,4386612.1,74
2024,4,Chile,Mendoza,477,2778,177528.1,11
2024,4,EE.UU. y Canadá,Mendoza,5216,20437,3541311.6,52
2024,4,Europa,Mendoza,6805,40742,3132276.3,58
2024,4,Paraguay,Mendoza,140,812,195373.9,5
2024,4,Resto de América,Mendoza,3537,16866,3027042.8,97
2024,4,Resto del mundo,Mendoza,696,3132,546231.1,4
2024,4,Uruguay,Mendoza,490,2757,284257,11
2025,1,Bolivia,Mendoza,26,104,7741.5,2
2025,1,Brasil,Mendoza,3750,30927,4911266.7,87
2025,1,Chile,Mendoza,648,2277,302227.2,18
2025,1,EE.UU. y Canadá,Mendoza,4181,22424,3349309.3,36
2025,1,Europa,Mendoza,6197,67229,4816468.2,47
2025,1,Paraguay,Mendoza,66,390,92510.9,10
2025,1,Resto de América,Mendoza,3028,30312,3433977.5,87
2025,1,Resto del mundo,Mendoza,1564,11322,1090776.4,8
2025,2,Bolivia,Mendoza,48,304,63084.5,5
2025,2,Brasil,Mendoza,5182,31012,3500701.7,73
2025,2,Chile,Mendoza,255,1318,122002.4,8
2025,2,EE.UU. y Canadá,Mendoza,4457,22470,2461130.8,46
2025,2,Europa,Mendoza,4317,43381,3093656.3,71
2025,2,Paraguay,Mendoza,29,203,26260.1,1
2025,2,Resto de América,Mendoza,3771,29130,4086966.9,88
2025,2,Uruguay,Mendoza,595,2988,528013.2,6
2025,3,Bolivia,Mendoza,136,555,78946.7,6
2025,3,Brasil,Mendoza,4901,32356,3650389.5,49
2025,3,Chile,Mendoza,212,1116,92662.9,11
2025,3,EE.UU. y Canadá,Mendoza,1272,9924,466734.7,16
2025,3,Europa,Mendoza,2789,27573,2579866.1,47
2025,3,Paraguay,Mendoza,34,256,21998.1,3
2025,3,Resto de América,Mendoza,4329,22058,3799642.5,67
2025,3,Resto del mundo,Mendoza,369,4345,333267.9,3
2025,3,Uruguay,Mendoza,419,7526,414798.8,3
