Año;Trimestre;País de residencia;Provincia visitada;Turistas no residentes*;Noches;Gasto en US$**;Casos Muestrales***;Paso
2024;3;Resto del mundo;Mendoza;621;3338;332430.8;15;Puerto de Buenos Aires
2024;3;Uruguay;Mendoza;1165;7179;560139.7;17;Puerto de Buenos Aires
2024;4;Resto del mundo;Mendoza;854;2437;164878.9;8;Puerto de Buenos Aires
2025;1;Resto del mundo;Mendoza;1125;3094;430722.9;6;Puerto de Buenos Aires
2025;1;Uruguay;Mendoza;1129;8197;615013.8;13;Puerto de Buenos Aires
2025;2;Resto del mundo;Mendoza;285;3186;68106.6;5;Puerto de Buenos Aires
2025;2;Uruguay;Mendoza;810;5341;663343.0;13;Puerto de Buenos Aires
2025;3;Resto del mundo;Mendoza;284;2120;97136.2;4;Puerto de Buenos Aires
2025;3;Uruguay;Mendoza;570;2950;398170.4;6;Puerto de Buenos Aires
2019;1;Bolivia;Mendoza;115;1823;266722.1;3;Ezeiza y Aeroparque
2019;1;Brasil;Mendoza;6043;27049;3979814.2;100;Ezeiza y Aeroparque
2019;1;Chile;Mendoza;84;168;11220.0;1;Ezeiza y Aeroparque
2019;1;EE.UU. y Canadá;Mendoza;6158;54150;4246003.5;74;Ezeiza y Aeroparque
2019;1;Europa;Mendoza;13427;132527;9013586.7;182;Ezeiza y Aeroparque
2019;1;Paraguay;Mendoza;940;5322;570991.7;17;Ezeiza y Aeroparque
2019;1;Resto de América;Mendoza;2218;11345;1128576.8;34;Ezeiza y Aeroparque
2019;1;Resto del mundo;Mendoza;2883;20692;1161085.9;15;Ezeiza y Aeroparque
2019;1;Uruguay;Mendoza;322;2124;213603.2;6;Ezeiza y Aeroparque
2019;2;Bolivia;Mendoza;91;1127;46438.5;3;Ezeiza y Aeroparque
2019;2;Brasil;Mendoza;4150;20601;2918350.6;53;Ezeiza y Aeroparque
2019;2;Chile;Mendoza;470;2029;208750.1;8;Ezeiza y Aeroparque
2019;2;EE.UU. y Canadá;Mendoza;2424;16105;1573687.3;39;Ezeiza y Aeroparque
2019;2;Europa;Mendoza;9634;65527;5318234.0;170;Ezeiza y Aeroparque
2019;2;Paraguay;Mendoza;118;708;85775.1;2;Ezeiza y Aeroparque
2019;2;Resto de América;Mendoza;2570;17748;1231759.4;36;Ezeiza y Aeroparque
2019;2;Resto del mundo;Mendoza;1538;12374;5520510.5;9;Ezeiza y Aeroparque
2019;2;Uruguay;Mendoza;634;2646;159710.8;12;Ezeiza y Aeroparque
2019;3;Bolivia;Mendoza;197;6640;412800.4;5;Ezeiza y Aeroparque
