Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen provincia,Vuelos,Pasajeros,Asientos
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aeropuerto Int. Presidente Perón,Ciudad Autónoma de Buenos Aires,127,15883,18363
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Santa Rosa,Ciudad Autónoma de Buenos Aires,23,1406,2160
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aeropuerto Int. Tte. Luis Candelaria,Ciudad Autónoma de Buenos Aires,267,40507,44935
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aviador C. Campos,Ciudad Autónoma de Buenos Aires,73,9970,11901
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeroparque Jorge Newbery,Córdoba,256,27897,33428
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. Ministro Pistarini,Córdoba,37,4100,4948
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Córdoba,39,3539,4452
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. Astor Piazolla,Córdoba,22,2088,2375
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. Presidente Perón,Córdoba,18,2426,2986
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. de Rosario Islas Malvinas,Buenos Aires,1,4,96
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Ingeniero Ambrosio Taravella,Buenos Aires,48,4180,5724
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Buenos Aires,37,3655,4644
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Coronel Felipe Varela,Buenos Aires,1,35,48
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Buenos Aires,41,3854,4930
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Buenos Aires,31,4354,4796
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Libertador Gral. D. José De San Martín,Buenos Aires,1,81,96
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Martín Miguel de Güemes,Buenos Aires,39,4335,5218
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Comte. Armando Tola,Buenos Aires,40,5712,6848
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Malvinas Argentinas,Buenos Aires,95,13616,16792
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Tte. Luis Candelaria,Buenos Aires,62,8856,10433
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Aviador C. Campos,Buenos Aires,6,791,983
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeroparque Jorge Newbery,Mendoza,214,21564,24843
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeropuerto Int. Ingeniero Ambrosio Taravella,Mendoza,40,3792,4863
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeropuerto Int. Ministro Pistarini,Mendoza,33,3549,4130
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeropuerto Int. Astor Piazolla,Mendoza,9,795,816
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeropuerto Int. Presidente Perón,Mendoza,22,1658,2538
2025,Enero,Aerolíneas Argentinas,Aeropuerto Coronel Felipe Varela,Aeropuerto Cap. Vicente Almandos Amonacid,Catamarca,1,24,96
2025,Enero,Aerolíneas Argentinas,Vcom. Angel De La Paz Aragonés,Aeroparque Jorge Newbery,Santiago del Estero,43,3806,4169
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Termas de Río Hondo,Aeroparque Jorge Newbery,Santiago del Estero,9,702,864
2025,Enero,Aerolíneas Argentinas,Aeropuerto Cap. Vicente Almandos Amonacid,Aeroparque Jorge Newbery,La Rioja,27,2107,2592
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Aeroparque Jorge Newbery,Tucumán,114,14423,15154
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Aeropuerto Int. Ministro Pistarini,Tucumán,34,3359,3523
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Tucumán,6,506,528
2025,Enero,Aerolíneas Argentinas,Aeropuerto Domingo Faustino Sarmiento,Aeroparque Jorge Newbery,San Juan,61,5196,6077
2025,Enero,Aerolíneas Argentinas,Brig. Mayor D. César Raul Ojeda,Aeroparque Jorge Newbery,San Luis,30,2262,2832
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Dr. Fernando Piragine Niveyro,Aeroparque Jorge Newbery,Corrientes,34,2967,3378
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. de Resistencia/José de San Martín,Aeroparque Jorge Newbery,Chaco,58,5207,5641
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. de Formosa/El Pucú,Aeroparque Jorge Newbery,Formosa,36,3192,3408
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Aeroparque Jorge Newbery,Misiones,166,21577,24693
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Aeropuerto Int. Ministro Pistarini,Misiones,54,7208,8638
