Año,Trimestre,País de residencia,Provincia visitada,Turistas no residentes*,Noches,Gasto en US$**,Casos Muestrales***
2024,3,Resto de América,Mendoza,5799,50976,4213460.1,520
2024,4,Brasil,Mendoza,13310,70497,12752957.5,864
2024,4,Chile,Mendoza,11512,44125,4215975.5,722
2024,4,EE.UU. y Canadá,Mendoza,5405,44426,6093957.1,456
2024,4,Europa y resto del mundo,Mendoza,4303,38267,3672931.5,254
2024,4,Resto de América,Mendoza,5670,44110,4640764.4,508
2025,1,Brasil,Mendoza,9481,51535,9728034.7,758
2025,1,Chile,Mendoza,9029,37351,3418517.3,622
2025,1,EE.UU. y Canadá,Mendoza,8516,76772,11880406.7,623
2025,1,Europa y resto del mundo,Mendoza,6176,85565,9217272.6,322
2025,1,Resto de América,Mendoza,5458,60515,5128902.1,412
2025,2,Brasil,Mendoza,13201,67707,15239001.6,1044
2025,2,Chile,Mendoza,7315,30742,2932208.9,635
2025,2,EE.UU. y Canadá,Mendoza,4058,45087,4967520.4,342
2025,2,Europa y resto del mundo,Mendoza,3434,40379,3033485.7,158
2025,2,Resto de América,Mendoza,4984,33844,3726962.1,414
2025,3,Brasil,Mendoza,12572,64690,13125303.8,735
2025,3,Chile,Mendoza,4823,18531,1733019.9,353
2025,3,EE.UU. y Canadá,Mendoza,2172,16619,1961916.6,120
2025,3,Europa y resto del mundo,Mendoza,2017,24299,1298749.9,90
2025,3,Resto de América,Mendoza,3000,19048,2209729.5,271
