Año,Mes,tipo_visitante,Paso,País de residencia (agrup.),Viajes de turistas
2017,Febrero,Turistas,Paso Portillo de Piuquenes,Resto de América,3.0104100000000003
2017,Febrero,Turistas,Paso Portillo de Piuquenes,Resto del mundo,1.0006578944289473
2017,Febrero,Turistas,Paso Portillo de Piuquenes,Uruguay,25.092987795993903
2017,Febrero,Turistas,Paso Vergara,Chile,175.8016028107351
2017,Marzo,Turistas,Aeropuerto Mendoza,Bolivia,12
2017,Marzo,Turistas,Aeropuerto Mendoza,Brasil,1581.000000498
2017,Marzo,Turistas,Aeropuerto Mendoza,Chile,2876.999999932
2017,Marzo,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1353.0000001350002
2017,Marzo,Turistas,Aeropuerto Mendoza,Europa,955.000000305
2017,Marzo,Turistas,Aeropuerto Mendoza,Paraguay,8
2017,Marzo,Turistas,Aeropuerto Mendoza,Resto de América,1038.9999998580001
2017,Marzo,Turistas,Aeropuerto Mendoza,Resto del mundo,186.999999984
2017,Marzo,Turistas,Aeropuerto Mendoza,Uruguay,28
2017,Marzo,Turistas,Paso Cristo Redentor,Bolivia,661.9275
2017,Marzo,Turistas,Paso Cristo Redentor,Brasil,1026.6425000000002
2017,Marzo,Turistas,Paso Cristo Redentor,Chile,14001.840900000001
2017,Marzo,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,482.59250000000003
2017,Marzo,Turistas,Paso Cristo Redentor,Europa,1633.1575
2017,Marzo,Turistas,Paso Cristo Redentor,Paraguay,198.4775
2017,Marzo,Turistas,Paso Cristo Redentor,Resto de América,1857.83
2017,Marzo,Turistas,Paso Cristo Redentor,Resto del mundo,242.8075
2017,Marzo,Turistas,Paso Cristo Redentor,Uruguay,250.8675
2017,Marzo,Turistas,Paso Pehuenche,Bolivia,5.0375
2017,Marzo,Turistas,Paso Pehuenche,Brasil,9.0675
2017,Marzo,Turistas,Paso Pehuenche,Chile,1189.6988999999999
2017,Marzo,Turistas,Paso Pehuenche,EE.UU. y Canadá,7.0525
2017,Marzo,Turistas,Paso Pehuenche,Europa,57.4275
2017,Marzo,Turistas,Paso Pehuenche,Paraguay,20.15
2017,Marzo,Turistas,Paso Pehuenche,Resto de América,23.1725
2017,Marzo,Turistas,Paso Pehuenche,Resto del mundo,1.0075
2017,Marzo,Turistas,Paso Pehuenche,Uruguay,10.075
2017,Marzo,Turistas,Paso Portillo de Piuquenes,Brasil,20.880958612282242
2017,Marzo,Turistas,Paso Portillo de Piuquenes,Resto de América,2.00773873794
2017,Marzo,Turistas,Paso Portillo de Piuquenes,Uruguay,1.0051785717582142
2017,Marzo,Turistas,Paso Vergara,Brasil,1.8982689647529312
2017,Marzo,Turistas,Paso Vergara,Chile,181.7563351817681
2017,Marzo,Turistas,Paso Vergara,EE.UU. y Canadá,1.999526450285
2017,Marzo,Turistas,Paso Vergara,Europa,7.002819926147499
2017,Abril,Turistas,Aeropuerto Mendoza,Bolivia,26
2017,Abril,Turistas,Aeropuerto Mendoza,Brasil,1559.999999926
2017,Abril,Turistas,Aeropuerto Mendoza,Chile,2711.00000084
2017,Abril,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1166
2017,Abril,Turistas,Aeropuerto Mendoza,Europa,768.000000285
2017,Abril,Turistas,Aeropuerto Mendoza,Paraguay,18
2017,Abril,Turistas,Aeropuerto Mendoza,Resto de América,1253
2017,Abril,Turistas,Aeropuerto Mendoza,Resto del mundo,186
2017,Abril,Turistas,Aeropuerto Mendoza,Uruguay,35
2017,Abril,Turistas,Paso Cristo Redentor,Bolivia,594.68961
2017,Abril,Turistas,Paso Cristo Redentor,Brasil,952.478277
2017,Abril,Turistas,Paso Cristo Redentor,Chile,12481.848472
2017,Abril,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,284.671092
2017,Abril,Turistas,Paso Cristo Redentor,Europa,1175.730606
2017,Abril,Turistas,Paso Cristo Redentor,Paraguay,124.787328
2017,Abril,Turistas,Paso Cristo Redentor,Resto de América,1797.717444
2017,Abril,Turistas,Paso Cristo Redentor,Resto del mundo,185.23119
2017,Abril,Turistas,Paso Cristo Redentor,Uruguay,972.951198
2017,Abril,Turistas,Paso Pehuenche,Bolivia,3.899604
2017,Abril,Turistas,Paso Pehuenche,Brasil,4.874505
2017,Abril,Turistas,Paso Pehuenche,Chile,945.795328
2017,Abril,Turistas,Paso Pehuenche,EE.UU. y Canadá,11.698812
2017,Abril,Turistas,Paso Pehuenche,Europa,63.368565
2017,Abril,Turistas,Paso Pehuenche,Paraguay,2.924703
2017,Abril,Turistas,Paso Pehuenche,Resto de América,25.347426
2017,Abril,Turistas,Paso Pehuenche,Resto del mundo,4.874505
2017,Abril,Turistas,Paso Pehuenche,Uruguay,19.49802
2017,Abril,Turistas,Paso Vergara,Brasil,0.9379379289915794
2017,Abril,Turistas,Paso Vergara,Chile,21.003395995768162
2017,Abril,Turistas,Paso Vergara,Europa,3.8823557515384617
2017,Mayo,Turistas,Aeropuerto Mendoza,Bolivia,17
2017,Mayo,Turistas,Aeropuerto Mendoza,Brasil,1687.999999616
2017,Mayo,Turistas,Aeropuerto Mendoza,Chile,2426.999999626
2017,Mayo,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,678.999999828
2017,Mayo,Turistas,Aeropuerto Mendoza,Europa,667.999999998
2017,Mayo,Turistas,Aeropuerto Mendoza,Paraguay,52
2017,Mayo,Turistas,Aeropuerto Mendoza,Resto de América,840
2017,Mayo,Turistas,Aeropuerto Mendoza,Resto del mundo,165
2017,Mayo,Turistas,Aeropuerto Mendoza,Uruguay,18
2017,Mayo,Turistas,Paso Cristo Redentor,Bolivia,556.6684710000001
2017,Mayo,Turistas,Paso Cristo Redentor,Brasil,837.439959
2017,Mayo,Turistas,Paso Cristo Redentor,Chile,7279.974168
2017,Mayo,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,236.90094299999998
2017,Mayo,Turistas,Paso Cristo Redentor,Europa,700.9538190000001
2017,Mayo,Turistas,Paso Cristo Redentor,Paraguay,119.912823
2017,Mayo,Turistas,Paso Cristo Redentor,Resto de América,1487.698926
2017,Mayo,Turistas,Paso Cristo Redentor,Resto del mundo,143.31044699999998
2017,Mayo,Turistas,Paso Cristo Redentor,Uruguay,178.40688300000002
2017,Mayo,Turistas,Paso Pehuenche,Bolivia,10.723911000000001
2017,Mayo,Turistas,Paso Pehuenche,Brasil,28.272129
2017,Mayo,Turistas,Paso Pehuenche,Chile,636.985
2017,Mayo,Turistas,Paso Pehuenche,EE.UU. y Canadá,2.924703
2017,Mayo,Turistas,Paso Pehuenche,Europa,33.146634
2017,Mayo,Turistas,Paso Pehuenche,Paraguay,0.974901
2017,Mayo,Turistas,Paso Pehuenche,Resto de América,33.146634
2017,Mayo,Turistas,Paso Pehuenche,Resto del mundo,2.924703
2017,Mayo,Turistas,Paso Pehuenche,Uruguay,0.974901
2017,Junio,Turistas,Aeropuerto Mendoza,Bolivia,16
2017,Junio,Turistas,Aeropuerto Mendoza,Brasil,1858.00000074
2017,Junio,Turistas,Aeropuerto Mendoza,Chile,2531.999999854
2017,Junio,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,646.9999998750001
2017,Junio,Turistas,Aeropuerto Mendoza,Europa,562.9999998
2017,Junio,Turistas,Aeropuerto Mendoza,Paraguay,12
2017,Junio,Turistas,Aeropuerto Mendoza,Resto de América,742.99999996
2017,Junio,Turistas,Aeropuerto Mendoza,Resto del mundo,154.999999984
2017,Junio,Turistas,Aeropuerto Mendoza,Uruguay,22.99999999
2017,Junio,Turistas,Paso Cristo Redentor,Bolivia,579.091194
2017,Junio,Turistas,Paso Cristo Redentor,Brasil,668.7820859999999
2017,Junio,Turistas,Paso Cristo Redentor,Chile,4486.412752
2017,Junio,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,104.31440700000002
2017,Junio,Turistas,Paso Cristo Redentor,Europa,295.39500300000003
2017,Junio,Turistas,Paso Cristo Redentor,Paraguay,101.389704
2017,Junio,Turistas,Paso Cristo Redentor,Resto de América,1300.517934
2017,Junio,Turistas,Paso Cristo Redentor,Resto del mundo,55.569357
2017,Junio,Turistas,Paso Cristo Redentor,Uruguay,57.519159
2017,Junio,Turistas,Paso Pehuenche,Chile,41.786215999999996
2017,Junio,Turistas,Paso Pehuenche,Europa,0.974901
2017,Julio,Turistas,Aeropuerto Mendoza,Bolivia,27
2017,Julio,Turistas,Aeropuerto Mendoza,Brasil,2301
2017,Julio,Turistas,Aeropuerto Mendoza,Chile,2782.99999999999
2017,Julio,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,725.0000000000003
2017,Julio,Turistas,Aeropuerto Mendoza,Europa,613.9999999999982
2017,Julio,Turistas,Aeropuerto Mendoza,Paraguay,9
2017,Julio,Turistas,Aeropuerto Mendoza,Resto de América,894.9999999999999
2017,Julio,Turistas,Aeropuerto Mendoza,Resto del mundo,113.00000000000017
2017,Julio,Turistas,Aeropuerto Mendoza,Uruguay,36
2017,Julio,Turistas,Paso Cristo Redentor,Bolivia,626.004362932
2017,Julio,Turistas,Paso Cristo Redentor,Brasil,1734.953809537
2017,Julio,Turistas,Paso Cristo Redentor,Chile,8935.394916624
2017,Julio,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,121.93643265700001
2017,Julio,Turistas,Paso Cristo Redentor,Europa,480.0646955
2017,Julio,Turistas,Paso Cristo Redentor,Paraguay,158.421349515
2017,Julio,Turistas,Paso Cristo Redentor,Resto de América,1950.9829225120002
2017,Julio,Turistas,Paso Cristo Redentor,Resto del mundo,131.537726567
2017,Julio,Turistas,Paso Cristo Redentor,Uruguay,369.649815535
2017,Agosto,Turistas,Aeropuerto Malargüe,Brasil,6
2017,Agosto,Turistas,Aeropuerto Mendoza,Bolivia,15
2017,Agosto,Turistas,Aeropuerto Mendoza,Brasil,1677
2017,Agosto,Turistas,Aeropuerto Mendoza,Chile,3299
2017,Agosto,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,696.9999999999998
2017,Agosto,Turistas,Aeropuerto Mendoza,Europa,616.0000000000022
2017,Agosto,Turistas,Aeropuerto Mendoza,Paraguay,9
2017,Agosto,Turistas,Aeropuerto Mendoza,Resto de América,1019.0000000000007
2017,Agosto,Turistas,Aeropuerto Mendoza,Resto del mundo,134.99999999999943
2017,Agosto,Turistas,Aeropuerto Mendoza,Uruguay,38
2017,Agosto,Turistas,Paso Cristo Redentor,Bolivia,604.88151633
2017,Agosto,Turistas,Paso Cristo Redentor,Brasil,894.8405924120001
2017,Agosto,Turistas,Paso Cristo Redentor,Chile,6771.581449344
2017,Agosto,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,134.41811474
2017,Agosto,Turistas,Paso Cristo Redentor,Europa,415.736026303
2017,Agosto,Turistas,Paso Cristo Redentor,Paraguay,124.81682083
2017,Agosto,Turistas,Paso Cristo Redentor,Resto de América,1662.9441052119998
2017,Agosto,Turistas,Paso Cristo Redentor,Resto del mundo,111.375009356
2017,Agosto,Turistas,Paso Cristo Redentor,Uruguay,144.01940865
2017,Septiembre,Turistas,Aeropuerto Malargüe,Brasil,3
2017,Septiembre,Turistas,Aeropuerto Mendoza,Bolivia,21
2017,Septiembre,Turistas,Aeropuerto Mendoza,Brasil,1812
2017,Septiembre,Turistas,Aeropuerto Mendoza,Chile,3718
2017,Septiembre,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,702
2017,Septiembre,Turistas,Aeropuerto Mendoza,Europa,487
2017,Septiembre,Turistas,Aeropuerto Mendoza,Paraguay,16
2017,Septiembre,Turistas,Aeropuerto Mendoza,Resto de América,946.0000000000001
2017,Septiembre,Turistas,Aeropuerto Mendoza,Resto del mundo,188.00000000000003
2017,Septiembre,Turistas,Aeropuerto Mendoza,Uruguay,15
2017,Septiembre,Turistas,Paso Cristo Redentor,Bolivia,626.004362932
2017,Septiembre,Turistas,Paso Cristo Redentor,Brasil,1873.212441841
2017,Septiembre,Turistas,Paso Cristo Redentor,Chile,12547.105840896
2017,Septiembre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,165.142255252
2017,Septiembre,Turistas,Paso Cristo Redentor,Europa,703.774843603
2017,Septiembre,Turistas,Paso Cristo Redentor,Paraguay,134.41811474
2017,Septiembre,Turistas,Paso Cristo Redentor,Resto de América,2150.68983584
2017,Septiembre,Turistas,Paso Cristo Redentor,Resto del mundo,167.062514034
2017,Septiembre,Turistas,Paso Cristo Redentor,Uruguay,482.945083673
2017,Octubre,Turistas,Aeropuerto Mendoza,Bolivia,36
2017,Octubre,Turistas,Aeropuerto Mendoza,Brasil,2065
2017,Octubre,Turistas,Aeropuerto Mendoza,Chile,4694
2017,Octubre,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,700.0000000000009
2017,Octubre,Turistas,Aeropuerto Mendoza,Europa,750.9999999999993
2017,Octubre,Turistas,Aeropuerto Mendoza,Paraguay,14
2017,Octubre,Turistas,Aeropuerto Mendoza,Resto de América,1099.9999999999995
2017,Octubre,Turistas,Aeropuerto Mendoza,Resto del mundo,241.9999999999995
2017,Octubre,Turistas,Aeropuerto Mendoza,Uruguay,30
2017,Octubre,Turistas,Paso Cristo Redentor,Bolivia,603.443169676
2017,Octubre,Turistas,Paso Cristo Redentor,Brasil,1213.612616721
2017,Octubre,Turistas,Paso Cristo Redentor,Chile,18511.759275924
2017,Octubre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,268.090197993
2017,Octubre,Turistas,Paso Cristo Redentor,Europa,1017.589676253
2017,Octubre,Turistas,Paso Cristo Redentor,Paraguay,181.609488963
2017,Octubre,Turistas,Paso Cristo Redentor,Resto de América,2084.185087623
2017,Octubre,Turistas,Paso Cristo Redentor,Resto del mundo,194.101146934
2017,Octubre,Turistas,Paso Cristo Redentor,Uruguay,216.201772575
2017,Noviembre,Turistas,Aeropuerto Mendoza,Bolivia,15
2017,Noviembre,Turistas,Aeropuerto Mendoza,Brasil,2162.999999602
2017,Noviembre,Turistas,Aeropuerto Mendoza,Chile,3538.999998875
2017,Noviembre,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1078.00000035
2017,Noviembre,Turistas,Aeropuerto Mendoza,Europa,1142.000000135
2017,Noviembre,Turistas,Aeropuerto Mendoza,Paraguay,13
2017,Noviembre,Turistas,Aeropuerto Mendoza,Resto de América,1175.000000048
2017,Noviembre,Turistas,Aeropuerto Mendoza,Resto del mundo,251.00000012100003
2017,Noviembre,Turistas,Aeropuerto Mendoza,Uruguay,33
2017,Noviembre,Turistas,Paso Cristo Redentor,Bolivia,540.984879821
2017,Noviembre,Turistas,Paso Cristo Redentor,Brasil,951.28779933
2017,Noviembre,Turistas,Paso Cristo Redentor,Chile,12210.076881456
2017,Noviembre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,297.87799777
2017,Noviembre,Turistas,Paso Cristo Redentor,Europa,1303.936912819
2017,Noviembre,Turistas,Paso Cristo Redentor,Paraguay,172.96141806
2017,Noviembre,Turistas,Paso Cristo Redentor,Resto de América,1863.178831213
2017,Noviembre,Turistas,Paso Cristo Redentor,Resto del mundo,201.78832107
2017,Noviembre,Turistas,Paso Cristo Redentor,Uruguay,233.497914381
2017,Noviembre,Turistas,Paso Pehuenche,Bolivia,2.8826903010000002
2017,Noviembre,Turistas,Paso Pehuenche,Brasil,4.804483835
2017,Noviembre,Turistas,Paso Pehuenche,Chile,703.884511336
2017,Noviembre,Turistas,Paso Pehuenche,EE.UU. y Canadá,2.8826903010000002
2017,Noviembre,Turistas,Paso Pehuenche,Europa,49.005735117
2017,Noviembre,Turistas,Paso Pehuenche,Paraguay,0.960896767
2017,Noviembre,Turistas,Paso Pehuenche,Resto de América,4.804483835
2017,Noviembre,Turistas,Paso Pehuenche,Resto del mundo,6.726277369
2017,Noviembre,Turistas,Paso Pehuenche,Uruguay,1.921793534
2017,Noviembre,Turistas,Paso Vergara,Chile,0.4161181749099994
2017,Diciembre,Turistas,Aeropuerto Mendoza,Bolivia,16.000000002
2017,Diciembre,Turistas,Aeropuerto Mendoza,Brasil,1289.0000004839999
2017,Diciembre,Turistas,Aeropuerto Mendoza,Chile,2664.99999935
2017,Diciembre,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1185.999999576
2017,Diciembre,Turistas,Aeropuerto Mendoza,Europa,1048.999999593
2017,Diciembre,Turistas,Aeropuerto Mendoza,Paraguay,14.999999997
2017,Diciembre,Turistas,Aeropuerto Mendoza,Resto de América,1653.9999999
2017,Diciembre,Turistas,Aeropuerto Mendoza,Resto del mundo,226.00000006500002
2017,Diciembre,Turistas,Aeropuerto Mendoza,Uruguay,22
2017,Diciembre,Turistas,Paso Cristo Redentor,Bolivia,813.8795616489999
2017,Diciembre,Turistas,Paso Cristo Redentor,Brasil,1915.067256631
2017,Diciembre,Turistas,Paso Cristo Redentor,Chile,14153.32251662
2017,Diciembre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,447.777893422
2017,Diciembre,Turistas,Paso Cristo Redentor,Europa,1461.523982607
2017,Diciembre,Turistas,Paso Cristo Redentor,Paraguay,272.894681828
2017,Diciembre,Turistas,Paso Cristo Redentor,Resto de América,2904.790926641
2017,Diciembre,Turistas,Paso Cristo Redentor,Resto del mundo,304.604275139
2017,Diciembre,Turistas,Paso Cristo Redentor,Uruguay,231.576120847
2017,Diciembre,Turistas,Paso Pehuenche,Bolivia,3.843587068
2017,Diciembre,Turistas,Paso Pehuenche,Brasil,34.592283612
2017,Diciembre,Turistas,Paso Pehuenche,Chile,1178.855291908
2017,Diciembre,Turistas,Paso Pehuenche,EE.UU. y Canadá,14.413451505000001
2017,Diciembre,Turistas,Paso Pehuenche,Europa,83.598018729
2017,Diciembre,Turistas,Paso Pehuenche,Paraguay,2.8826903010000002
2017,Diciembre,Turistas,Paso Pehuenche,Resto de América,33.631386845
2017,Diciembre,Turistas,Paso Pehuenche,Resto del mundo,6.726277369
2017,Diciembre,Turistas,Paso Pehuenche,Uruguay,17.296141806
2017,Diciembre,Turistas,Paso Portillo de Piuquenes,Brasil,8.648070903
2017,Diciembre,Turistas,Paso Portillo de Piuquenes,Chile,1.008430532
2017,Diciembre,Turistas,Paso Portillo de Piuquenes,EE.UU. y Canadá,0.960896767
2017,Diciembre,Turistas,Paso Portillo de Piuquenes,Europa,11.530761204000001
2017,Diciembre,Turistas,Paso Portillo de Piuquenes,Resto de América,0.960896767
2017,Diciembre,Turistas,Paso Vergara,Chile,24.836411618358575
2017,Diciembre,Turistas,Paso Vergara,EE.UU. y Canadá,1.9038328475207
2017,Diciembre,Turistas,Paso Vergara,Europa,2.8657802726852464
2018,Enero,Turistas,Aeropuerto Mendoza,Bolivia,25
2018,Enero,Turistas,Aeropuerto Mendoza,Brasil,1470.00000616
2018,Enero,Turistas,Aeropuerto Mendoza,Chile,1471.9999935
2018,Enero,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1961.00000424
2018,Enero,Turistas,Aeropuerto Mendoza,Europa,1549.99999727
2018,Enero,Turistas,Aeropuerto Mendoza,Paraguay,20
2018,Enero,Turistas,Aeropuerto Mendoza,Resto de América,1040.0000022
2018,Enero,Turistas,Aeropuerto Mendoza,Resto del mundo,311.99999985
2018,Enero,Turistas,Aeropuerto Mendoza,Uruguay,18
2018,Enero,Turistas,Paso Cristo Redentor,Bolivia,736.120559053
2018,Enero,Turistas,Paso Cristo Redentor,Brasil,2968.22499914
2018,Enero,Turistas,Paso Cristo Redentor,Chile,15784.356861631999
2018,Enero,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,603.874726065
2018,Enero,Turistas,Paso Cristo Redentor,Europa,1610.134486928
2018,Enero,Turistas,Paso Cristo Redentor,Paraguay,547.010197605
2018,Enero,Turistas,Paso Cristo Redentor,Resto de América,2599.910684472
2018,Enero,Turistas,Paso Cristo Redentor,Resto del mundo,312.62755323299996
2018,Enero,Turistas,Paso Cristo Redentor,Uruguay,472.769291913
2018,Enero,Turistas,Paso Pehuenche,Bolivia,33.2475
2018,Enero,Turistas,Paso Pehuenche,Brasil,61.4575
2018,Enero,Turistas,Paso Pehuenche,Chile,1967.0529999999999
2018,Enero,Turistas,Paso Pehuenche,EE.UU. y Canadá,20.150000000000002
2018,Enero,Turistas,Paso Pehuenche,Europa,101.75750000000001
2018,Enero,Turistas,Paso Pehuenche,Paraguay,16.12
2018,Enero,Turistas,Paso Pehuenche,Resto de América,29.2175
2018,Enero,Turistas,Paso Pehuenche,Resto del mundo,22.165000000000003
2018,Enero,Turistas,Paso Pehuenche,Uruguay,49.3675
2018,Enero,Turistas,Paso Portillo de Piuquenes,Brasil,6.334189814292408
2018,Enero,Turistas,Paso Portillo de Piuquenes,EE.UU. y Canadá,1.0010828022975
2018,Enero,Turistas,Paso Portillo de Piuquenes,Europa,15.002783510287227
2018,Enero,Turistas,Paso Portillo de Piuquenes,Resto de América,1.005020218085
2018,Enero,Turistas,Paso Vergara,Chile,232.83204843888524
2018,Enero,Turistas,Paso Vergara,EE.UU. y Canadá,3.0032484068925003
2018,Enero,Turistas,Paso Vergara,Europa,12.002226808229782
2018,Febrero,Turistas,Aeropuerto Mendoza,Bolivia,13.000000004999999
2018,Febrero,Turistas,Aeropuerto Mendoza,Brasil,1213.99999956
2018,Febrero,Turistas,Aeropuerto Mendoza,Chile,2171.000000874
2018,Febrero,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1246.000000169
2018,Febrero,Turistas,Aeropuerto Mendoza,Europa,1254.999999874
2018,Febrero,Turistas,Aeropuerto Mendoza,Paraguay,27.000000002
2018,Febrero,Turistas,Aeropuerto Mendoza,Resto de América,767.000000156
2018,Febrero,Turistas,Aeropuerto Mendoza,Resto del mundo,245.99999991
2018,Febrero,Turistas,Aeropuerto Mendoza,Uruguay,32.000000005
2018,Febrero,Turistas,Paso Cristo Redentor,Bolivia,845.016298806
2018,Febrero,Turistas,Paso Cristo Redentor,Brasil,1485.72499974
2018,Febrero,Turistas,Paso Cristo Redentor,Chile,19771.625590856
2018,Febrero,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,413.918695316
2018,Febrero,Turistas,Paso Cristo Redentor,Europa,1476.39774323
2018,Febrero,Turistas,Paso Cristo Redentor,Paraguay,276.93952122400003
2018,Febrero,Turistas,Paso Cristo Redentor,Resto de América,2443.504541179
2018,Febrero,Turistas,Paso Cristo Redentor,Resto del mundo,259.232922674
2018,Febrero,Turistas,Paso Cristo Redentor,Uruguay,470.852777056
2018,Febrero,Turistas,Paso Pehuenche,Bolivia,11.0825
2018,Febrero,Turistas,Paso Pehuenche,Brasil,9.0675
2018,Febrero,Turistas,Paso Pehuenche,Chile,3054.7176
2018,Febrero,Turistas,Paso Pehuenche,EE.UU. y Canadá,9.0675
2018,Febrero,Turistas,Paso Pehuenche,Europa,111.83250000000001
2018,Febrero,Turistas,Paso Pehuenche,Paraguay,13.0975
2018,Febrero,Turistas,Paso Pehuenche,Resto de América,23.1725
2018,Febrero,Turistas,Paso Pehuenche,Resto del mundo,6.045
2018,Febrero,Turistas,Paso Pehuenche,Uruguay,13.0975
2018,Febrero,Turistas,Paso Portillo de Piuquenes,Brasil,31.105929650185324
2018,Febrero,Turistas,Paso Portillo de Piuquenes,Chile,0.42194285709777696
2018,Febrero,Turistas,Paso Portillo de Piuquenes,EE.UU. y Canadá,1.000234375465
2018,Febrero,Turistas,Paso Portillo de Piuquenes,Europa,6.005567512504374
2018,Febrero,Turistas,Paso Portillo de Piuquenes,Paraguay,1.8664285714564286
2018,Febrero,Turistas,Paso Portillo de Piuquenes,Resto de América,3.0104100000000003
2018,Febrero,Turistas,Paso Portillo de Piuquenes,Resto del mundo,1.0006578944289473
2018,Febrero,Turistas,Paso Portillo de Piuquenes,Uruguay,20.07439023679512
2018,Febrero,Turistas,Paso Vergara,Brasil,5.832361809409749
2018,Febrero,Turistas,Paso Vergara,Chile,523.8931741457297
2018,Febrero,Turistas,Paso Vergara,EE.UU. y Canadá,6.00140625279
2018,Febrero,Turistas,Paso Vergara,Europa,14.012990862510206
2018,Febrero,Turistas,Paso Vergara,Resto del mundo,12.007894733147367
2018,Febrero,Turistas,Paso Vergara,Uruguay,14.052073165756585
2018,Marzo,Turistas,Aeropuerto Mendoza,Bolivia,32.000099999999996
2018,Marzo,Turistas,Aeropuerto Mendoza,Brasil,1565.9952
2018,Marzo,Turistas,Aeropuerto Mendoza,Chile,2512.01055
2018,Marzo,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1785.00516
2018,Marzo,Turistas,Aeropuerto Mendoza,Europa,1280.9944
2018,Marzo,Turistas,Aeropuerto Mendoza,Paraguay,66.99980000000001
2018,Marzo,Turistas,Aeropuerto Mendoza,Resto de América,1408.0035
2018,Marzo,Turistas,Aeropuerto Mendoza,Resto del mundo,388.99991
2018,Marzo,Turistas,Aeropuerto Mendoza,Uruguay,31
2018,Marzo,Turistas,Paso Cristo Redentor,Bolivia,632.729775832
2018,Marzo,Turistas,Paso Cristo Redentor,Brasil,998.261786712
2018,Marzo,Turistas,Paso Cristo Redentor,Chile,13357.311108399112
2018,Marzo,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,459.954677042
2018,Marzo,Turistas,Paso Cristo Redentor,Europa,1479.285846168
2018,Marzo,Turistas,Paso Cristo Redentor,Paraguay,204.976440606
2018,Marzo,Turistas,Paso Cristo Redentor,Resto de América,2020.8769310940002
2018,Marzo,Turistas,Paso Cristo Redentor,Resto del mundo,231.984235098
2018,Marzo,Turistas,Paso Cristo Redentor,Uruguay,874.74036912
2018,Marzo,Turistas,Paso Pehuenche,Bolivia,5.03755318
2018,Marzo,Turistas,Paso Pehuenche,Brasil,29.217808444
2018,Marzo,Turistas,Paso Pehuenche,Chile,1238.029629629627
2018,Marzo,Turistas,Paso Pehuenche,EE.UU. y Canadá,11.082616995999999
2018,Marzo,Turistas,Paso Pehuenche,Europa,37.27789353199999
2018,Marzo,Turistas,Paso Pehuenche,Paraguay,4.030042544
2018,Marzo,Turistas,Paso Pehuenche,Resto de América,29.217808444
2018,Marzo,Turistas,Paso Pehuenche,Resto del mundo,4.030042544
2018,Marzo,Turistas,Paso Pehuenche,Uruguay,9.067595723999998
2018,Marzo,Turistas,Paso Portillo de Piuquenes,Brasil,4.745722511109897
2018,Marzo,Turistas,Paso Portillo de Piuquenes,Europa,4.00165363067641
2018,Marzo,Turistas,Paso Vergara,Chile,206.0699499115401
2018,Marzo,Turistas,Paso Vergara,EE.UU. y Canadá,0.999773779466731
2018,Marzo,Turistas,Paso Vergara,Europa,8.00330726135281
2018,Marzo,Turistas,Paso Vergara,Resto de América,1.00387996664207
2018,Abril,Turistas,Aeropuerto Mendoza,Bolivia,35
2018,Abril,Turistas,Aeropuerto Mendoza,Brasil,2939.00036
2018,Abril,Turistas,Aeropuerto Mendoza,Chile,2639.99208
2018,Abril,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1362.0033
2018,Abril,Turistas,Aeropuerto Mendoza,Europa,1108.9956
2018,Abril,Turistas,Aeropuerto Mendoza,Paraguay,31
2018,Abril,Turistas,Aeropuerto Mendoza,Resto de América,1735.998
2018,Abril,Turistas,Aeropuerto Mendoza,Resto del mundo,257.0001
2018,Abril,Turistas,Aeropuerto Mendoza,Uruguay,27
2018,Abril,Turistas,Paso Cristo Redentor,Bolivia,625.81829697
2018,Abril,Turistas,Paso Cristo Redentor,Brasil,1057.431982381
2018,Abril,Turistas,Paso Cristo Redentor,Chile,14250.821719326
2018,Abril,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,390.90476507
2018,Abril,Turistas,Paso Cristo Redentor,Europa,1167.663390235
2018,Abril,Turistas,Paso Cristo Redentor,Paraguay,130.61792945
