Año,Mes,tipo_visitante,Paso,País de residencia (agrup.),Viajes de turistas
2016,Marzo,Turistas,Paso Cristo Redentor,Europa,3283.4425
2016,Marzo,Turistas,Paso Cristo Redentor,Paraguay,316.355
2016,Marzo,Turistas,Paso Cristo Redentor,Resto de América,4226.4625
2016,Marzo,Turistas,Paso Cristo Redentor,Resto del mundo,533.975
2016,Marzo,Turistas,Paso Cristo Redentor,Uruguay,1087.0925
2016,Marzo,Turistas,Paso Pehuenche,Bolivia,4.03
2016,Marzo,Turistas,Paso Pehuenche,Brasil,5.0375
2016,Marzo,Turistas,Paso Pehuenche,Chile,1644.1197
2016,Marzo,Turistas,Paso Pehuenche,EE.UU. y Canadá,9.0675
2016,Marzo,Turistas,Paso Pehuenche,Europa,73.5475
2016,Marzo,Turistas,Paso Pehuenche,Paraguay,3.0225
2016,Marzo,Turistas,Paso Pehuenche,Resto de América,28.21
2016,Marzo,Turistas,Paso Pehuenche,Resto del mundo,7.0525
2016,Marzo,Turistas,Paso Pehuenche,Uruguay,7.0525
2016,Marzo,Turistas,Paso Vergara,Brasil,4.745672411882327
2016,Marzo,Turistas,Paso Vergara,Chile,188.84863558453162
2016,Marzo,Turistas,Paso Vergara,EE.UU. y Canadá,0.9997632251425
2016,Marzo,Turistas,Paso Vergara,Europa,12.00483415911
2016,Marzo,Turistas,Paso Vergara,Resto de América,2.00773873794
2016,Marzo,Turistas,Paso Vergara,Uruguay,6.031071430549286
2016,Abril,Turistas,Aeropuerto Mendoza,Bolivia,11
2016,Abril,Turistas,Aeropuerto Mendoza,Brasil,1099
2016,Abril,Turistas,Aeropuerto Mendoza,Chile,1755
2016,Abril,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1086.000000015
2016,Abril,Turistas,Aeropuerto Mendoza,Europa,785
2016,Abril,Turistas,Aeropuerto Mendoza,Paraguay,65
2016,Abril,Turistas,Aeropuerto Mendoza,Resto de América,569.999999861
2016,Abril,Turistas,Aeropuerto Mendoza,Resto del mundo,212
2016,Abril,Turistas,Aeropuerto Mendoza,Uruguay,15
2016,Abril,Turistas,Paso Cristo Redentor,Bolivia,620.0370360000001
2016,Abril,Turistas,Paso Cristo Redentor,Brasil,983.675109
2016,Abril,Turistas,Paso Cristo Redentor,Chile,12410.506152
2016,Abril,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,490.37520300000006
2016,Abril,Turistas,Paso Cristo Redentor,Europa,1802.5919490000001
2016,Abril,Turistas,Paso Cristo Redentor,Paraguay,252.49935900000003
2016,Abril,Turistas,Paso Cristo Redentor,Resto de América,2386.557648
2016,Abril,Turistas,Paso Cristo Redentor,Resto del mundo,295.395003
2016,Abril,Turistas,Paso Cristo Redentor,Uruguay,246.64995299999998
2016,Abril,Turistas,Paso Pehuenche,Bolivia,3.899604
2016,Abril,Turistas,Paso Pehuenche,Brasil,4.874505
2016,Abril,Turistas,Paso Pehuenche,Chile,783.746344
2016,Abril,Turistas,Paso Pehuenche,EE.UU. y Canadá,2.924703
2016,Abril,Turistas,Paso Pehuenche,Europa,29.247030000000002
2016,Abril,Turistas,Paso Pehuenche,Paraguay,0.974901
2016,Abril,Turistas,Paso Pehuenche,Resto de América,18.523118999999998
2016,Abril,Turistas,Paso Pehuenche,Resto del mundo,0.974901
2016,Abril,Turistas,Paso Pehuenche,Uruguay,2.924703
2016,Abril,Turistas,Paso Vergara,Chile,65.26927488978211
2016,Abril,Turistas,Paso Vergara,EE.UU. y Canadá,2.89999589872581
2016,Abril,Turistas,Paso Vergara,Europa,1.9411778757692308
2016,Mayo,Turistas,Aeropuerto Mendoza,Bolivia,5
2016,Mayo,Turistas,Aeropuerto Mendoza,Brasil,1192.000000521
2016,Mayo,Turistas,Aeropuerto Mendoza,Chile,1745
2016,Mayo,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,588.99999984
2016,Mayo,Turistas,Aeropuerto Mendoza,Europa,519.999999858
2016,Mayo,Turistas,Aeropuerto Mendoza,Paraguay,13
2016,Mayo,Turistas,Aeropuerto Mendoza,Resto de América,550.0000001669999
2016,Mayo,Turistas,Aeropuerto Mendoza,Resto del mundo,148
2016,Mayo,Turistas,Aeropuerto Mendoza,Uruguay,15
2016,Mayo,Turistas,Paso Cristo Redentor,Bolivia,569.342184
2016,Mayo,Turistas,Paso Cristo Redentor,Brasil,1196.203527
2016,Mayo,Turistas,Paso Cristo Redentor,Chile,10269.217376
2016,Mayo,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,331.46634
2016,Mayo,Turistas,Paso Cristo Redentor,Europa,1367.786103
2016,Mayo,Turistas,Paso Cristo Redentor,Paraguay,155.98416
2016,Mayo,Turistas,Paso Cristo Redentor,Resto de América,2815.514088
2016,Mayo,Turistas,Paso Cristo Redentor,Resto del mundo,230.076636
2016,Mayo,Turistas,Paso Cristo Redentor,Uruguay,152.084556
2016,Mayo,Turistas,Paso Pehuenche,Bolivia,1.949802
2016,Mayo,Turistas,Paso Pehuenche,Brasil,8.774109
2016,Mayo,Turistas,Paso Pehuenche,Chile,289.44598399999995
2016,Mayo,Turistas,Paso Pehuenche,EE.UU. y Canadá,0.974901
2016,Mayo,Turistas,Paso Pehuenche,Europa,16.573317
2016,Mayo,Turistas,Paso Pehuenche,Paraguay,2.924703
2016,Mayo,Turistas,Paso Pehuenche,Resto de América,2.924703
2016,Mayo,Turistas,Paso Pehuenche,Resto del mundo,0.974901
2016,Junio,Turistas,Aeropuerto Mendoza,Bolivia,8
2016,Junio,Turistas,Aeropuerto Mendoza,Brasil,1366.999999365
2016,Junio,Turistas,Aeropuerto Mendoza,Chile,1469.000000451
2016,Junio,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,585
2016,Junio,Turistas,Aeropuerto Mendoza,Europa,397
2016,Junio,Turistas,Aeropuerto Mendoza,Paraguay,1
2016,Junio,Turistas,Aeropuerto Mendoza,Resto de América,344.00000004000003
2016,Junio,Turistas,Aeropuerto Mendoza,Resto del mundo,93.99999996
2016,Junio,Turistas,Aeropuerto Mendoza,Uruguay,12
2016,Junio,Turistas,Paso Cristo Redentor,Bolivia,326.591835
2016,Junio,Turistas,Paso Cristo Redentor,Brasil,636.610353
2016,Junio,Turistas,Paso Cristo Redentor,Chile,5385.325984
2016,Junio,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,104.31440700000002
2016,Junio,Turistas,Paso Cristo Redentor,Europa,413.358024
2016,Junio,Turistas,Paso Cristo Redentor,Paraguay,89.690892
2016,Junio,Turistas,Paso Cristo Redentor,Resto de América,1509.1467480000001
2016,Junio,Turistas,Paso Cristo Redentor,Resto del mundo,116.98812
2016,Junio,Turistas,Paso Cristo Redentor,Uruguay,259.323666
2016,Junio,Turistas,Paso Pehuenche,Bolivia,105.28930799999999
2016,Junio,Turistas,Paso Pehuenche,Brasil,119.912823
2016,Junio,Turistas,Paso Pehuenche,Chile,1389.136888
2016,Junio,Turistas,Paso Pehuenche,EE.UU. y Canadá,24.372525
2016,Junio,Turistas,Paso Pehuenche,Europa,114.063417
2016,Junio,Turistas,Paso Pehuenche,Paraguay,22.422723
2016,Junio,Turistas,Paso Pehuenche,Resto de América,396.78470699999997
2016,Junio,Turistas,Paso Pehuenche,Resto del mundo,25.347426000000002
2016,Junio,Turistas,Paso Pehuenche,Uruguay,23.397624
2016,Julio,Turistas,Aeropuerto Mendoza,Bolivia,10
2016,Julio,Turistas,Aeropuerto Mendoza,Brasil,1104.000000138
2016,Julio,Turistas,Aeropuerto Mendoza,Chile,1539
2016,Julio,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,533.999999935
2016,Julio,Turistas,Aeropuerto Mendoza,Europa,411.99999986
2016,Julio,Turistas,Aeropuerto Mendoza,Paraguay,25
2016,Julio,Turistas,Aeropuerto Mendoza,Resto de América,498
2016,Julio,Turistas,Aeropuerto Mendoza,Resto del mundo,99.999999995
2016,Julio,Turistas,Aeropuerto Mendoza,Uruguay,12
2016,Julio,Turistas,Paso Cristo Redentor,Bolivia,530.951553223
2016,Julio,Turistas,Paso Cristo Redentor,Brasil,1493.961332396
2016,Julio,Turistas,Paso Cristo Redentor,Chile,11947.664244624
2016,Julio,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,288.0388173
2016,Julio,Turistas,Paso Cristo Redentor,Europa,648.087338925
2016,Julio,Turistas,Paso Cristo Redentor,Paraguay,197.786654546
2016,Julio,Turistas,Paso Cristo Redentor,Resto de América,2887.109078737
2016,Julio,Turistas,Paso Cristo Redentor,Resto del mundo,203.547430892
2016,Julio,Turistas,Paso Cristo Redentor,Uruguay,227.550665667
2016,Julio,Turistas,Paso Pehuenche,Brasil,7.681035128
2016,Julio,Turistas,Paso Pehuenche,Chile,123.503042448
2016,Julio,Turistas,Paso Pehuenche,EE.UU. y Canadá,3.840517564
2016,Julio,Turistas,Paso Pehuenche,Europa,8.641164519
2016,Julio,Turistas,Paso Pehuenche,Paraguay,1.920258782
2016,Julio,Turistas,Paso Pehuenche,Resto de América,4.800646955
2016,Julio,Turistas,Paso Pehuenche,Uruguay,3.840517564
2016,Agosto,Turistas,Aeropuerto Malargüe,Brasil,4.065573772
2016,Agosto,Turistas,Aeropuerto Mendoza,Bolivia,3
2016,Agosto,Turistas,Aeropuerto Mendoza,Brasil,1293.000000417
2016,Agosto,Turistas,Aeropuerto Mendoza,Chile,1692.999999614
2016,Agosto,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,620.000000052
2016,Agosto,Turistas,Aeropuerto Mendoza,Europa,457
2016,Agosto,Turistas,Aeropuerto Mendoza,Paraguay,7
2016,Agosto,Turistas,Aeropuerto Mendoza,Resto de América,484.00000016399997
2016,Agosto,Turistas,Aeropuerto Mendoza,Resto del mundo,83
2016,Agosto,Turistas,Aeropuerto Mendoza,Uruguay,15
2016,Agosto,Turistas,Paso Cristo Redentor,Bolivia,670.170314918
2016,Agosto,Turistas,Paso Cristo Redentor,Brasil,1310.576618715
2016,Agosto,Turistas,Paso Cristo Redentor,Chile,12868.414569216
2016,Agosto,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,315.88256963899994
2016,Agosto,Turistas,Paso Cristo Redentor,Europa,1092.6272469580001
2016,Agosto,Turistas,Paso Cristo Redentor,Paraguay,173.783419771
2016,Agosto,Turistas,Paso Cristo Redentor,Resto de América,3306.685622604
2016,Agosto,Turistas,Paso Cristo Redentor,Resto del mundo,189.145490027
2016,Agosto,Turistas,Paso Cristo Redentor,Uruguay,156.50109073299998
2016,Septiembre,Turistas,Aeropuerto Mendoza,Bolivia,2
2016,Septiembre,Turistas,Aeropuerto Mendoza,Brasil,492.99999984
2016,Septiembre,Turistas,Aeropuerto Mendoza,Chile,331
2016,Septiembre,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,121
2016,Septiembre,Turistas,Aeropuerto Mendoza,Europa,128.000000032
2016,Septiembre,Turistas,Aeropuerto Mendoza,Paraguay,3
2016,Septiembre,Turistas,Aeropuerto Mendoza,Resto de América,120
2016,Septiembre,Turistas,Aeropuerto Mendoza,Resto del mundo,19
2016,Septiembre,Turistas,Aeropuerto Mendoza,Uruguay,111.000000016
2016,Septiembre,Turistas,Paso Cristo Redentor,Bolivia,658.648762226
2016,Septiembre,Turistas,Paso Cristo Redentor,Brasil,2239.981869203
2016,Septiembre,Turistas,Paso Cristo Redentor,Chile,18128.84090568
2016,Septiembre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,439.739261078
2016,Septiembre,Turistas,Paso Cristo Redentor,Europa,1429.632663199
2016,Septiembre,Turistas,Paso Cristo Redentor,Paraguay,291.879334864
2016,Septiembre,Turistas,Paso Cristo Redentor,Resto de América,3577.442110866
2016,Septiembre,Turistas,Paso Cristo Redentor,Resto del mundo,345.64658076
2016,Septiembre,Turistas,Paso Cristo Redentor,Uruguay,517.509741749
2016,Septiembre,Turistas,Paso Pehuenche,Brasil,4.800646955
2016,Septiembre,Turistas,Paso Pehuenche,Chile,404.648179728
2016,Septiembre,Turistas,Paso Pehuenche,EE.UU. y Canadá,8.641164519
2016,Septiembre,Turistas,Paso Pehuenche,Europa,8.641164519
2016,Septiembre,Turistas,Paso Pehuenche,Paraguay,0.960129391
2016,Septiembre,Turistas,Paso Pehuenche,Resto de América,3.840517564
2016,Septiembre,Turistas,Paso Pehuenche,Resto del mundo,2.880388173
2016,Septiembre,Turistas,Paso Pehuenche,Uruguay,3.840517564
2016,Octubre,Turistas,Paso Cristo Redentor,Bolivia,767.7565168330001
2016,Octubre,Turistas,Paso Cristo Redentor,Brasil,2211.984357634
2016,Octubre,Turistas,Paso Cristo Redentor,Chile,28070.672288751997
2016,Octubre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,625.5437953170001
2016,Octubre,Turistas,Paso Cristo Redentor,Europa,2076.497913487
2016,Octubre,Turistas,Paso Cristo Redentor,Paraguay,268.090197993
2016,Octubre,Turistas,Paso Cristo Redentor,Resto de América,3772.4807072420003
2016,Octubre,Turistas,Paso Cristo Redentor,Resto del mundo,484.291970568
2016,Octubre,Turistas,Paso Cristo Redentor,Uruguay,319.017726644
2016,Octubre,Turistas,Paso Pehuenche,Bolivia,0.960896767
2016,Octubre,Turistas,Paso Pehuenche,Brasil,4.804483835
2016,Octubre,Turistas,Paso Pehuenche,Chile,906.5790482680001
2016,Octubre,Turistas,Paso Pehuenche,EE.UU. y Canadá,5.765380602
2016,Octubre,Turistas,Paso Pehuenche,Europa,36.514077146
2016,Octubre,Turistas,Paso Pehuenche,Paraguay,1.921793534
2016,Octubre,Turistas,Paso Pehuenche,Resto de América,15.374348271999999
2016,Octubre,Turistas,Paso Pehuenche,Resto del mundo,3.843587068
2016,Octubre,Turistas,Paso Pehuenche,Uruguay,2.882690301
2016,Noviembre,Turistas,Paso Cristo Redentor,Bolivia,607.2867567440001
2016,Noviembre,Turistas,Paso Cristo Redentor,Brasil,1172.29405574
2016,Noviembre,Turistas,Paso Cristo Redentor,Chile,24107.540297992
2016,Noviembre,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,676.471323968
2016,Noviembre,Turistas,Paso Cristo Redentor,Europa,2218.710635003
2016,Noviembre,Turistas,Paso Cristo Redentor,Paraguay,199.866527536
2016,Noviembre,Turistas,Paso Cristo Redentor,Resto de América,3761.910842805
2016,Noviembre,Turistas,Paso Cristo Redentor,Resto del mundo,385.319603567
2016,Noviembre,Turistas,Paso Cristo Redentor,Uruguay,645.722627424
